E-ems-load-forecast-noneday
2017-01-06
00.00-01.00,01.00-02.00,02.00-03.00,03.00-04.00,04.00-05.00,05.00-06.00,06.00-07.00,07.00-08.00,08.00-09.00,09.00-10.00,10.00-11.00,11.00-12.00,12.00-13.00,13.00-14.00,14.00-15.00,15.00-16.00,16.00-17.00,17.00-18.00,18.00-19.00,19.00-20.00,20.00-21.00,21.00-22.00,22.00-23.00,23.00-24.00
6105,5667,5382,5292,5294,5334,5441,5786,6145,6389,6521,6465,6436,6368,6321,6350,6700,6950,6850,6751,6602,6493,6445,6316,
E-ems-load-forecast-noneprevious1
2017-01-05
00.00-01.00,01.00-02.00,02.00-03.00,03.00-04.00,04.00-05.00,05.00-06.00,06.00-07.00,07.00-08.00,08.00-09.00,09.00-10.00,10.00-11.00,11.00-12.00,12.00-13.00,13.00-14.00,14.00-15.00,15.00-16.00,16.00-17.00,17.00-18.00,18.00-19.00,19.00-20.00,20.00-21.00,21.00-22.00,22.00-23.00,23.00-24.00
5766,5337,5343,5277,5215,5125,5290,5386,5726,5981,6062,6056,5980,5910,5863,5909,6311,6569,6620,6590,6490,6384,6285,6107,
