E-bmrs-peak-demand-none
2017-01-05
HDR,PEAK DEMAND DATA_YESTERDAY,TODAY,TOMORROW
PKDEM,20170104,49400,1700,49378,1700,201701041730
PKDEM,20170105,49799,1800,,,201701051316
PKDEM,20170106,48712,1700,,,201701051316
FTR,3
