E-bmrs-system-price-none
2017-01-05
HDR,INDICATIVE SYSTEM PRICE STACK DATA
BID,20170105,24,32,T_EECL-1,85560,-1,F,F,F,F,NULL,39.50000,-0.108,-0.108,-0.108,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,33,T_EECL-1,85562,-1,F,F,F,F,NULL,39.50000,-10.400,-10.400,-10.400,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,34,T_EECL-1,85563,-1,F,F,F,F,NULL,39.50000,-13.333,-13.333,-13.333,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,35,T_SHBA-2,104329,-1,F,F,F,F,NULL,39.12000,-0.050,0.000,0.000,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,36,T_SHBA-2,104329,-2,F,F,F,F,NULL,39.12000,-1.638,-1.638,-1.638,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,37,T_COSO-1,132062,-1,F,F,F,F,NULL,39.05000,-11.711,-11.711,-11.711,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,38,T_COSO-1,132063,-1,F,F,F,F,NULL,39.05000,-22.100,-22.100,-22.100,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,39,T_COSO-1,132064,-1,F,F,F,F,NULL,39.05000,-20.000,-20.000,-20.000,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,40,T_COSO-1,132061,-1,F,F,F,F,NULL,39.05000,-0.197,-0.197,-0.197,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,41,T_MRWD-1,70331,-2,F,F,F,F,NULL,38.50000,-17.583,-17.583,-17.583,0.000,0.000,0.00000,0.0000000,0.000,0.00
BID,20170105,24,42,T_MRWD-1,70330,-2,F,F,F,F,NULL,38.50000,-7.604,-7.604,-7.604,0.000,0.000,0.00000,0.0000000,0.000,0.00
