E-bmrs-system-demand-none
2017-01-05
HDR,SYSTEM DEMAND
TSDF,20161230,36,43243.0
ITSDO,20161230,37,42805.0
TSDF,20161230,37,42808.0
ITSDO,20161230,38,42014.0
TSDF,20161230,38,42079.0
TSDF,20161230,39,41326.0
ITSDO,20161230,39,41438.0
ITSDO,20161230,40,40310.0
TSDF,20161230,40,40085.0
ITSDO,20161230,41,39075.0
TSDF,20161230,41,39207.0
TSDF,20161230,42,37793.0
ITSDO,20161230,42,37530.0
ITSDO,20161230,43,36288.0
TSDF,20161230,43,36712.0
ITSDO,20161230,44,34614.0
TSDF,20161230,44,34868.0
ITSDO,20161230,45,32869.0
TSDF,20161230,45,33251.0
ITSDO,20161230,46,31450.0
TSDF,20161230,46,31934.0
TSDF,20161230,47,29264.0
ITSDO,20161230,47,28849.0
ITSDO,20161230,48,27756.0
TSDF,20161230,48,28225.0
ITSDO,20161231,1,27325.0
TSDF,20161231,1,27726.0
TSDF,20161231,2,27704.0
ITSDO,20161231,2,27297.0
ITSDO,20161231,3,27628.0
TSDF,20161231,3,27649.0
ITSDO,20161231,4,27576.0
TSDF,20161231,4,27688.0
ITSDO,20161231,5,26818.0
TSDF,20161231,5,26992.0
ITSDO,20161231,6,26594.0
TSDF,20161231,6,26712.0
TSDF,20161231,7,26283.0
ITSDO,20161231,7,26233.0
ITSDO,20161231,8,25720.0
TSDF,20161231,8,25596.0
ITSDO,20161231,9,25167.0
TSDF,20161231,9,25184.0
TSDF,20161231,10,25041.0
ITSDO,20161231,10,24928.0
ITSDO,20161231,11,25202.0
TSDF,20161231,11,25424.0
ITSDO,20161231,12,25321.0
TSDF,20161231,12,25578.0
ITSDO,20161231,13,25458.0
TSDF,20161231,13,25881.0
ITSDO,20161231,14,25578.0
TSDF,20161231,14,26103.0
TSDF,20161231,15,27909.0
ITSDO,20161231,15,26980.0
ITSDO,20161231,16,27848.0
TSDF,20161231,16,29271.0
ITSDO,20161231,17,29005.0
TSDF,20161231,17,30464.0
TSDF,20161231,18,32247.0
ITSDO,20161231,18,30872.0
ITSDO,20161231,19,32104.0
TSDF,20161231,19,33356.0
ITSDO,20161231,20,33155.0
TSDF,20161231,20,34119.0
ITSDO,20161231,21,34112.0
TSDF,20161231,21,34600.0
ITSDO,20161231,22,34447.0
TSDF,20161231,22,34595.0
TSDF,20161231,23,34774.0
ITSDO,20161231,23,34763.0
ITSDO,20161231,24,35029.0
TSDF,20161231,24,34874.0
ITSDO,20161231,25,35301.0
TSDF,20161231,25,35133.0
TSDF,20161231,26,34739.0
ITSDO,20161231,26,35098.0
ITSDO,20161231,27,35020.0
TSDF,20161231,27,34729.0
ITSDO,20161231,28,34924.0
TSDF,20161231,28,34739.0
ITSDO,20161231,29,34909.0
TSDF,20161231,29,34708.0
ITSDO,20161231,30,35048.0
TSDF,20161231,30,34906.0
TSDF,20161231,31,35535.0
ITSDO,20161231,31,35455.0
ITSDO,20161231,32,36400.0
TSDF,20161231,32,36732.0
ITSDO,20161231,33,38123.0
TSDF,20161231,33,38868.0
TSDF,20161231,34,40801.0
ITSDO,20161231,34,40119.0
ITSDO,20161231,35,40866.0
TSDF,20161231,35,41644.0
ITSDO,20161231,36,40760.0
TSDF,20161231,36,41180.0
ITSDO,20161231,37,40057.0
TSDF,20161231,37,40266.0
ITSDO,20161231,38,38800.0
TSDF,20161231,38,39305.0
TSDF,20161231,39,37862.0
ITSDO,20161231,39,37323.0
ITSDO,20161231,40,35988.0
TSDF,20161231,40,36167.0
ITSDO,20161231,41,34226.0
TSDF,20161231,41,34681.0
TSDF,20161231,42,33300.0
ITSDO,20161231,42,32867.0
ITSDO,20161231,43,32218.0
TSDF,20161231,43,33578.0
ITSDO,20161231,44,31083.0
TSDF,20161231,44,32572.0
ITSDO,20161231,45,30163.0
TSDF,20161231,45,31756.0
ITSDO,20161231,46,29649.0
TSDF,20161231,46,31078.0
TSDF,20161231,47,28722.0
ITSDO,20161231,47,27976.0
ITSDO,20161231,48,27630.0
TSDF,20161231,48,27802.0
ITSDO,20170101,1,27949.0
TSDF,20170101,1,29100.0
TSDF,20170101,2,28305.0
ITSDO,20170101,2,28435.0
ITSDO,20170101,3,28165.0
TSDF,20170101,3,28225.0
ITSDO,20170101,4,27707.0
TSDF,20170101,4,27988.0
ITSDO,20170101,5,27449.0
TSDF,20170101,5,27720.0
ITSDO,20170101,6,26594.0
TSDF,20170101,6,27119.0
TSDF,20170101,7,26422.0
ITSDO,20170101,7,25900.0
ITSDO,20170101,8,25446.0
TSDF,20170101,8,25821.0
ITSDO,20170101,9,24833.0
TSDF,20170101,9,25183.0
TSDF,20170101,10,24895.0
ITSDO,20170101,10,24641.0
ITSDO,20170101,11,24435.0
TSDF,20170101,11,24715.0
ITSDO,20170101,12,24290.0
TSDF,20170101,12,24689.0
ITSDO,20170101,13,24621.0
TSDF,20170101,13,25289.0
ITSDO,20170101,14,24672.0
TSDF,20170101,14,25426.0
TSDF,20170101,15,25773.0
ITSDO,20170101,15,24930.0
ITSDO,20170101,16,24295.0
TSDF,20170101,16,24882.0
ITSDO,20170101,17,24432.0
TSDF,20170101,17,24793.0
TSDF,20170101,18,25860.0
ITSDO,20170101,18,25359.0
ITSDO,20170101,19,26516.0
TSDF,20170101,19,27015.0
