E-ems-load-forecast-noneday
2017-01-06
00.00-01.00,01.00-02.00,02.00-03.00,03.00-04.00,04.00-05.00,05.00-06.00,06.00-07.00,07.00-08.00,08.00-09.00,09.00-10.00,10.00-11.00,11.00-12.00,12.00-13.00,13.00-14.00,14.00-15.00,15.00-16.00,16.00-17.00,17.00-18.00,18.00-19.00,19.00-20.00,20.00-21.00,21.00-22.00,22.00-23.00,23.00-24.00
6105,5667,5382,5292,5294,5334,5441,5786,6145,6389,6521,6465,6436,6368,6321,6350,6700,6950,6850,6751,6602,6493,6445,6316,
