gate,date,from,to,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
"2017-01-19 18:00:01",2017-01-20,AL,RS,59,57,47,40,109,112,124,106,99,93,93,93,93,130,116,61,55,63,76,80,60,112,80,77
"2017-01-19 23:00:01",2017-01-20,AL,RS,59,57,47,40,109,112,124,106,99,93,93,93,93,130,116,61,55,63,76,80,60,112,80,77
"2017-01-20 00:00:01",2017-01-20,AL,RS,59,57,47,40,109,112,124,106,99,93,93,93,93,130,116,61,55,63,76,80,60,112,80,77
"2017-01-20 01:00:01",2017-01-20,AL,RS,59,57,47,40,109,112,124,106,99,93,93,93,93,130,116,61,55,63,76,80,60,112,80,77
