gate,date,from,to,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
"2017-01-19 18:00:01",2017-01-20,RS,MK,295,320,319,321,326,293,187,368,428,457,456,487,488,446,491,509,503,463,462,461,488,395,416,266
"2017-01-19 23:00:01",2017-01-20,RS,MK,295,320,319,321,326,293,187,368,428,457,456,487,488,446,491,509,503,463,462,461,488,395,416,266
"2017-01-20 00:00:01",2017-01-20,RS,MK,295,320,319,321,326,293,187,368,428,457,456,487,488,446,491,509,503,463,462,461,488,395,416,266
"2017-01-20 01:00:01",2017-01-20,RS,MK,295,320,319,321,326,293,187,368,428,457,456,487,488,446,491,509,503,463,462,461,488,395,416,266
