gate,date,from,to,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
"2017-01-19 18:00:01",2017-01-20,RS,HR,224,334,334,339,354,293,60,194,146,106,68,92,77,79,79,60,90,98,187,177,90,177,106,238
"2017-01-19 23:00:01",2017-01-20,RS,HR,224,334,334,339,354,293,60,194,146,106,68,92,77,79,79,60,90,98,187,177,90,177,106,238
"2017-01-20 00:00:01",2017-01-20,RS,HR,224,334,334,339,354,293,60,194,146,106,68,92,77,79,79,60,90,98,187,177,90,177,106,238
"2017-01-20 01:00:01",2017-01-20,RS,HR,224,334,334,339,354,293,60,194,146,106,68,92,77,79,79,60,90,98,187,177,90,177,106,238
