gate,date,from,to,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
"2017-01-19 18:00:01",2017-01-20,HU,RS,990,1005,974,955,960,894,851,950,583,610,751,862,862,831,869,843,810,802,853,842,951,959,962,994
"2017-01-19 23:00:01",2017-01-20,HU,RS,990,1005,974,955,960,894,851,950,583,610,751,862,862,831,869,843,810,802,853,842,951,959,962,994
"2017-01-20 00:00:01",2017-01-20,HU,RS,990,1005,974,955,960,894,851,950,583,610,751,862,862,831,869,843,810,802,853,842,951,959,962,994
"2017-01-20 01:00:01",2017-01-20,HU,RS,990,1005,974,955,960,894,851,950,583,610,751,862,862,831,869,843,810,802,853,842,951,959,962,994
