gate,date,from,to,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
"2017-01-19 18:00:01",2017-01-20,RS,AL,95,95,95,95,95,95,90,90,86,86,86,86,86,81,81,81,76,71,124,118,109,75,130,95
"2017-01-19 23:00:01",2017-01-20,RS,AL,95,95,95,95,95,95,90,90,86,86,86,86,86,81,81,81,76,71,124,118,109,75,130,95
"2017-01-20 00:00:01",2017-01-20,RS,AL,95,95,95,95,95,95,90,90,86,86,86,86,86,81,81,81,76,71,124,118,109,75,130,95
"2017-01-20 01:00:01",2017-01-20,RS,AL,95,95,95,95,95,95,90,90,86,86,86,86,86,81,81,81,76,71,124,118,109,75,130,95
