gate,date,from,to,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
"2017-01-19 18:00:01",2017-01-20,RS,BA,260,321,328,278,340,228,359,195,355,201,116,112,104,146,99,77,81,108,182,83,245,349,350,385
"2017-01-19 23:00:01",2017-01-20,RS,BA,260,321,328,278,340,228,359,195,355,201,116,112,104,146,99,77,81,108,182,83,245,349,350,385
"2017-01-20 00:00:01",2017-01-20,RS,BA,260,321,328,278,340,228,359,195,355,201,116,112,104,146,99,77,81,108,182,83,245,349,350,385
"2017-01-20 01:00:01",2017-01-20,RS,BA,260,321,328,278,340,228,359,195,355,201,116,112,104,146,99,77,81,108,182,83,245,349,350,385
